Time Spent on Website,Duration of Membership,Time Spent on App,Session Duration	
69.15656052278989,20.45735550841146,32.21955337665678,62.18625131885406
67.97582868048742,19.787372877064403,30.887688551928214,57.816543650437644
66.70255786813091,18.986007815362424,32.71183795703135,58.28639887505048
65.37179904408943,19.47478825590766,29.40979715081867,62.11847961085163
66.55192362478763,18.933956336213512,32.46260549232026,59.442156289124085
67.74801355765871,17.339429590437305,32.428235515198054,62.0450161616732
66.93411509299919,21.188364892555935,32.43871871389335,59.175370768291735
65.7182944680023,18.120092953735192,33.33900456591392,61.093614959535074
65.787857625606,18.021961921864392,31.806520916174527,59.48829799319307
68.7674276305167,16.83650268242192,31.209200569972545,58.91794335857154
63.927162602526465,19.512533759591857,29.54551216723423,60.70990311332343
64.6441292599308,20.87833257064346,31.477704478527407,62.622157970795996
64.7114616427581,20.85077124108123,33.210702887242064,58.1703155378274
63.828408080377415,20.814682319913707,33.22363916885534,59.00078769846655
65.30973779954505,18.923291086194972,34.45915601853136,58.50813967452146
65.4195267350113,17.083331704173933,31.51042519941096,61.13719359468317
65.03708354084331,22.338846119167265,31.537578940882646,60.88893121670507
65.16146575860922,19.70712098592289,31.939046417065363,59.836937999174026
65.82843514685281,18.519159908511586,32.030238146303304,61.336313199768114
63.7432579596803,20.73980384965523,31.85030030391094,57.5580928080792
64.23495084592867,19.225296803743856,33.255561601738435,59.44379529852881
64.9257577741237,21.827420246897802,28.0372357512763,60.23700685293729
66.37580792693133,19.090454737619368,33.35743233164172,59.13297584136049
64.24676424180714,21.722613832317307,30.943948654237786,60.2133103333437
66.7733787663392,18.597731370557174,30.87167053662695,60.223156580419776
62.893569878043,16.184949542797707,31.868026295101814,60.82308350577948
64.6770608561534,17.62496303138219,32.74620912669098,61.20930428626595
64.88186847071634,20.499346240377616,32.67623592193822,59.75714846826938
65.59947682467404,21.195211280076037,32.697984671783466,60.12181042586175
65.0997017297316,19.0394965604791,31.44892183958062,59.957397379066826
67.41348389742454,18.494761194255904,29.558839252164475,61.96873671634595
65.52363286265705,19.645780058376555,28.9743612496575,58.58788492497113
66.06903185051468,19.76588571134055,29.897416796747233,58.69812809130301
65.00214448241253,19.84692615549573,32.43116012547478,57.879830708023576
66.24207179929036,17.7301914207763,29.01519950194121,61.7616270625854
65.0699821500919,20.524111561574145,32.36157983886159,59.384501863208136
